171302: done 163 games, mean reward -19.470, eps 0.48, speed 103.04 f/s, time till now 1560.086 s
173675: done 164 games, mean reward -19.440, eps 0.48, speed 102.25 f/s, time till now 1583.293 s
175106: done 165 games, mean reward -19.410, eps 0.47, speed 103.85 f/s, time till now 1597.073 s
176519: done 166 games, mean reward -19.380, eps 0.47, speed 102.81 f/s, time till now 1610.817 s
177887: done 167 games, mean reward -19.370, eps 0.47, speed 103.96 f/s, time till now 1623.976 s
179441: done 168 games, mean reward -19.370, eps 0.47, speed 102.01 f/s, time till now 1639.209 s
180434: done 169 games, mean reward -19.370, eps 0.47, speed 102.08 f/s, time till now 1648.937 s
181740: done 170 games, mean reward -19.360, eps 0.46, speed 102.87 f/s, time till now 1661.632 s
183356: done 171 games, mean reward -19.310, eps 0.46, speed 103.06 f/s, time till now 1677.312 s
184846: done 172 games, mean reward -19.270, eps 0.46, speed 103.39 f/s, time till now 1691.724 s
185994: done 173 games, mean reward -19.270, eps 0.46, speed 103.14 f/s, time till now 1702.855 s
187259: done 174 games, mean reward -19.260, eps 0.45, speed 103.52 f/s, time till now 1715.074 s
189009: done 175 games, mean reward -19.200, eps 0.45, speed 103.25 f/s, time till now 1732.024 s
190181: done 176 games, mean reward -19.190, eps 0.45, speed 102.84 f/s, time till now 1743.421 s
191652: done 177 games, mean reward -19.180, eps 0.45, speed 101.10 f/s, time till now 1757.971 s
193362: done 178 games, mean reward -19.150, eps 0.44, speed 102.59 f/s, time till now 1774.640 s
194932: done 179 games, mean reward -19.130, eps 0.44, speed 103.96 f/s, time till now 1789.742 s
196606: done 180 games, mean reward -19.090, eps 0.44, speed 102.40 f/s, time till now 1806.090 s
197782: done 181 games, mean reward -19.090, eps 0.43, speed 102.32 f/s, time till now 1817.583 s
199361: done 182 games, mean reward -19.060, eps 0.43, speed 102.41 f/s, time till now 1833.001 s
201003: done 183 games, mean reward -19.030, eps 0.43, speed 102.90 f/s, time till now 1848.958 s
201924: done 184 games, mean reward -19.030, eps 0.43, speed 103.72 f/s, time till now 1857.837 s
203577: done 185 games, mean reward -18.990, eps 0.43, speed 101.91 f/s, time till now 1874.058 s
204895: done 186 games, mean reward -19.000, eps 0.42, speed 102.69 f/s, time till now 1886.893 s
206220: done 187 games, mean reward -19.000, eps 0.42, speed 102.60 f/s, time till now 1899.808 s
207814: done 188 games, mean reward -18.970, eps 0.42, speed 103.28 f/s, time till now 1915.242 s
209438: done 189 games, mean reward -18.970, eps 0.42, speed 102.25 f/s, time till now 1931.124 s
210864: done 190 games, mean reward -18.960, eps 0.41, speed 102.99 f/s, time till now 1944.969 s
212626: done 191 games, mean reward -18.940, eps 0.41, speed 102.90 f/s, time till now 1962.093 s
214504: done 192 games, mean reward -18.930, eps 0.41, speed 102.24 f/s, time till now 1980.462 s
216111: done 193 games, mean reward -18.930, eps 0.41, speed 102.15 f/s, time till now 1996.194 s
218283: done 194 games, mean reward -18.910, eps 0.40, speed 102.84 f/s, time till now 2017.314 s
219631: done 195 games, mean reward -18.890, eps 0.40, speed 102.95 f/s, time till now 2030.408 s
221298: done 196 games, mean reward -18.880, eps 0.40, speed 103.01 f/s, time till now 2046.591 s
223170: done 197 games, mean reward -18.870, eps 0.39, speed 102.11 f/s, time till now 2064.924 s
225499: done 198 games, mean reward -18.840, eps 0.39, speed 103.22 f/s, time till now 2087.488 s
227007: done 199 games, mean reward -18.850, eps 0.39, speed 102.79 f/s, time till now 2102.159 s
228236: done 200 games, mean reward -18.870, eps 0.39, speed 103.43 f/s, time till now 2114.041 s
229800: done 201 games, mean reward -18.850, eps 0.39, speed 103.69 f/s, time till now 2129.124 s
232060: done 202 games, mean reward -18.800, eps 0.38, speed 103.05 f/s, time till now 2151.055 s
233928: done 203 games, mean reward -18.790, eps 0.38, speed 102.25 f/s, time till now 2169.324 s
235477: done 204 games, mean reward -18.780, eps 0.38, speed 103.88 f/s, time till now 2184.235 s
236857: done 205 games, mean reward -18.770, eps 0.38, speed 102.83 f/s, time till now 2197.655 s
238665: done 206 games, mean reward -18.750, eps 0.37, speed 103.43 f/s, time till now 2215.135 s
240784: done 207 games, mean reward -18.730, eps 0.37, speed 103.64 f/s, time till now 2235.581 s
242863: done 208 games, mean reward -18.640, eps 0.37, speed 103.53 f/s, time till now 2255.662 s
244506: done 209 games, mean reward -18.610, eps 0.37, speed 102.56 f/s, time till now 2271.682 s
246818: done 210 games, mean reward -18.590, eps 0.36, speed 103.15 f/s, time till now 2294.096 s
248578: done 211 games, mean reward -18.570, eps 0.36, speed 102.79 f/s, time till now 2311.218 s
250665: done 212 games, mean reward -18.530, eps 0.36, speed 103.30 f/s, time till now 2331.422 s
252393: done 213 games, mean reward -18.510, eps 0.35, speed 103.14 f/s, time till now 2348.176 s
254376: done 214 games, mean reward -18.490, eps 0.35, speed 101.88 f/s, time till now 2367.639 s
256730: done 215 games, mean reward -18.380, eps 0.35, speed 102.85 f/s, time till now 2390.528 s
258109: done 216 games, mean reward -18.370, eps 0.35, speed 103.83 f/s, time till now 2403.809 s
260244: done 217 games, mean reward -18.320, eps 0.34, speed 104.28 f/s, time till now 2424.282 s
262038: done 218 games, mean reward -18.300, eps 0.34, speed 103.15 f/s, time till now 2441.674 s
264174: done 219 games, mean reward -18.290, eps 0.34, speed 103.45 f/s, time till now 2462.322 s
265711: done 220 games, mean reward -18.270, eps 0.34, speed 102.15 f/s, time till now 2477.369 s
267309: done 221 games, mean reward -18.280, eps 0.34, speed 102.21 f/s, time till now 2493.003 s
269258: done 222 games, mean reward -18.300, eps 0.33, speed 102.20 f/s, time till now 2512.073 s
270792: done 223 games, mean reward -18.310, eps 0.33, speed 103.24 f/s, time till now 2526.931 s
272480: done 224 games, mean reward -18.320, eps 0.33, speed 102.35 f/s, time till now 2543.423 s
274050: done 225 games, mean reward -18.300, eps 0.33, speed 102.51 f/s, time till now 2558.739 s
275931: done 226 games, mean reward -18.300, eps 0.33, speed 101.62 f/s, time till now 2577.250 s
277995: done 227 games, mean reward -18.210, eps 0.32, speed 101.35 f/s, time till now 2597.616 s
